The Minories|The Mineries|1|6959|6959|51.5108|-0.0751|51.5108|-0.0751|0.0
Arleston|Carlesley|0|230|1484|52.863|-1.5|54.891|-2.944|244.550840335
Mexico City|City|0|4839|5015|19.433333333333334|-99.1333333333|55.75|37.6166666667|10719.7887557
Monaster Evan|Monasterevan|1|4915|4915|53.138669444444446|-7.06081944444|53.138669444444446|-7.06081944444|0.0
Moret|The More|0|4992|6963|48.3744|2.815|51.63401388888889|-0.438408333333|430.523290518
Spiere|Spir|1|6331|6331|49.31944444444445|8.43111111111|49.31944444444445|8.43111111111|0.0
County of Kildare.|Council Chamber, Westminster|0|2068|7591|53.166666666666664|-6.75|51.49916666666667|-0.124722222222|486.630973155
Colbrooke|Walbrook|0|1948|7460|52.61138888888889|-7.58|51.5124|-0.0919805555556|526.026992065
Fribourg|Redbourne|0|2992|5790|47.983333333333334|7.85|51.8002|-0.3965|726.689873834
Chipchis|Chipches|1|1822|1822|55.0756|-2.186|55.0756|-2.186|0.0
Wressle Castle|Wressle|1|7829|7829|53.7755|-0.9287|53.7755|-0.9287|0.0
Entrammes, near Laval|Entrammes|1|2669|2669|47.996700000000004|-0.7125|47.996700000000004|-0.7125|0.0
Lestarrick [Restalrig]|Lestalrick [Restalrig]|1|4332|4332|55.959722222222226|-3.15055555556|55.959722222222226|-3.15055555556|0.0
Sackvile House|Sackville House|1|5999|5999|51.522769305555556|-0.161356194444|51.522769305555556|-0.161356194444|0.0
Islington|Islenton|1|3840|3840|51.544|-0.1027|51.544|-0.1027|0.0
Ashburn|Woburne|0|265|7731|53.016|-1.731|51.988261111111115|-0.619419444444|136.82059077
Chelchithe|Chelchith (Chelsea)|1|1775|1775|51.487500000000004|-0.1684|51.487500000000004|-0.1684|0.0
Markes|Swarkeston|0|4714|6729|51.8968|0.6732|52.853|-1.451|179.147112356
Camp at [M]ounstre[ll]|Raunston|0|1252|5783|50.464800000000004|1.763|52.1492|-0.7642|256.759963449
Charteley manor|King's manor of Bridewell|0|1721|4007|52.85398888888889|-1.98658888889|51.51179444444445|-0.105758333333|196.754058201
Hogesden|Hoggesdon [Hoddesdon]|1|3724|3724|51.759|-0.015|51.759|-0.015|0.0
Vilvordo|Vilvorde|1|7415|7415|50.92721944444444|4.42416944444|50.92721944444444|4.42416944444|0.0
london|lond|1|4466|4466|51.5155|-0.0922|51.5155|-0.0922|0.0
Knowsley|Knowstley|1|4057|4057|53.437999999999995|-2.8384|53.437999999999995|-2.8384|0.0
Wolston, near Coventry|Wolston|1|7765|7765|52.37|-1.39|52.37|-1.39|0.0
St. John's Street|His house in Wood Street|0|6440|7012|51.52572222222222|-0.104083333333|51.5105|-0.121388888889|2.07336206553
Tykfford|Tyckford|1|7270|7270|52.086600000000004|-0.715|52.086600000000004|-0.715|0.0
Byndon|london|0|732|4466|50.681999999999995|-2.22|51.5155|-0.0922|175.106217287
Vallon|Vallon, 4 leagues from le Mans|1|7331|7331|47.96333333333334|-0.0666666666667|47.96333333333334|-0.0666666666667|0.0
My Poor House|From his house by the Savoy|0|298|7012|50.833819444444444|-0.388861111111|51.5105|-0.121388888889|77.5195429341
Bletherwick|Bletherweke|1|768|768|52.5486|-0.5636|52.5486|-0.5636|0.0
Otelands|Otelond|1|5342|5342|51.37507222222222|-0.442391666667|51.37507222222222|-0.442391666667|0.0
Kilteynan|Tiltey|0|3983|7114|53.23562777777778|-6.19337222222|51.9131|0.325280555556|464.208152232
Lester|Lestarrick [Restalrig]|0|4275|4332|52.63333333333333|-1.13333333333|55.959722222222226|-3.15055555556|392.31473645
Rose Castle|Rose|1|5903|5903|54.8064|-2.9802|54.8064|-2.9802|0.0
Chambord|Hamborech|0|1681|3380|47.61634166666667|1.51696111111|53.56527777777777|10.0013888889|891.151625771
Durham Place|Norham|0|2518|5282|51.50888888888889|-0.123333333333|55.718|-2.158|486.840172512
Lessenhall|Wressel Castle|0|4325|7829|53.468444444444444|-6.21055555556|53.7755|-0.9287|349.929797928
Sherborne|Sherborne Castle|0|6108|6197|50.9469|-2.5171|50.946|-2.5006|1.16028035584
Chillingham|Villiers-Cotterets|0|1814|7407|55.527|-1.904|49.25|3.08333333333|775.22546419
Fowey, Cornwall|Truro, Cornwall|0|2959|7227|50.334|-4.633|50.26|-5.051|30.8105058726
Hyde by Winchester|Rochester|0|3761|5868|51.0686|-1.3143|51.3883|0.4982|131.115250095
Camp upon the Maghery, in Connaught|Magherlocow|0|1424|4634|53.6333|-8.1833|54.453944444444446|-7.52225|100.942576828
Benfield|Benefeld|1|2651|2651|51.644999999999996|-0.06|51.644999999999996|-0.06|0.0
Woburn|Wobourne|1|7731|7731|51.988261111111115|-0.619419444444|51.988261111111115|-0.619419444444|0.0
Sherborne Lodge|Sherburn|1|6197|6197|50.946|-2.5006|50.946|-2.5006|0.0
Truro, Cornwall|Truro|1|7227|7227|50.26|-5.051|50.26|-5.051|0.0
Camp at Warkeshaughe|Warkeshaughe|0|1283|7497|55.641|-2.2771|55.641|-2.2771|0.0
Corballe|Youghalle|0|2031|7907|53.52641666666666|-6.4415|51.95167222222223|-7.84561111111|198.980179497
Walsingham House|Walsingham House, London|1|7475|7475|51.51038888888889|-0.0791944444444|51.51038888888889|-0.0791944444444|0.0
Sudeley Castle|Sudeley|1|6705|6705|51.947222222222216|-1.95611111111|51.947222222222216|-1.95611111111|0.0
Magherlocow|The camp at Ballintogher|0|4634|7034|54.453944444444446|-7.52225|54.201|-8.365|61.4596777074
Riverstown, near the hill of Tarah|Riverstone|1|5855|5855|53.58486111111112|-6.63513888889|53.58486111111112|-6.63513888889|0.0
Harbottle|Newbottle|0|3414|5204|55.337|-2.109|54.857572222222224|-1.47739722222|66.7586297519
Temptallon|Tunstall|0|6755|7237|56.0564|-2.6506|51.330000000000005|0.72|570.315744565
Plantsenitz in Misnia|Serjeants Inn|0|5607|6148|51.166666666666664|13.4833333333|51.5137|-0.109|943.592106161
Wigmore|Wigmore Castell|1|7661|7661|52.3177|-2.8714|52.3177|-2.8714|0.0
Hornebach|Horneby|0|3685|3687|49.18805555555555|7.36916666667|54.1114|-2.6323|879.43298793
Wigmore|Wigmere|1|7658|7658|52.316399999999994|-2.8612|52.316399999999994|-2.8612|0.0
Blandford Forum|Blankney|0|757|760|50.856|-2.1648|53.12838611111111|-0.405786111111|279.892833948
Spir|Spire|1|6331|6331|49.31944444444445|8.43111111111|49.31944444444445|8.43111111111|0.0
Rhinehausen, by Spires|Rhinehausen|1|5823|5823|49.260555555555555|8.485|49.260555555555555|8.485|0.0
Almerin|Almerim|1|112|112|39.2|-8.61666666667|39.2|-8.61666666667|0.0
Spires|Spiere|1|6331|6331|49.31944444444445|8.43111111111|49.31944444444445|8.43111111111|0.0
Carlel|Carlesley|1|1484|1484|54.891|-2.944|54.891|-2.944|0.0
Coomanhavyn|Dromany|0|2027|2424|55.67611111111111|12.5683333333|52.08816111111111|-7.85213055556|1390.79314725
Modlicote|Ricott|0|4894|5836|52.544694444444445|-2.87780555556|51.7373|-1.0362|154.441432472
Yorks Place|Yorkes Place|1|7898|7898|51.504444444444445|-0.125555555556|51.504444444444445|-0.125555555556|0.0
Ennis|Enniscorthy|0|2663|2664|52.8463|-8.9807|52.50206388888889|-6.56587777778|167.243875484
Aldermanstone|Aldermaston|1|84|84|51.383|-1.15|51.383|-1.15|0.0
Loghgere Castle|Loghgere|1|4514|4514|52.51638055555556|-8.53327777778|52.51638055555556|-8.53327777778|0.0
Lyme|Lyme Regis|1|4583|4583|50.725|-2.94|50.725|-2.94|0.0
White Lakynton|Whitehall|0|7632|7898|50.935599999999994|-2.8765|51.504444444444445|-0.125555555556|201.745688011
Wratislav|Wratislaw (Breslau)|1|935|935|51.1|17.0333333333|51.1|17.0333333333|0.0
Warkeshaughe|Wollerhaughe|0|7497|7754|55.641|-2.2771|55.53052777777778|-1.99655555556|21.4879649582
Wynfeld Castell|Wynfeld Castle|1|7862|7862|52.3479|1.2595|52.3479|1.2595|0.0
Darrintone|Darneton|1|2219|2219|54.527|-1.5526|54.527|-1.5526|0.0
Kilkenny West Co. Westmeath|Kilkenny West|1|3949|3949|53.4944|-7.8353|53.4944|-7.8353|0.0
